station_name,year,josha_num,lines
伏屋,2012,1045435.0,1
伏屋,2013,1051649.0,1
伏屋,2014,1011800.0,1
伏屋,2015,1081492.0,1
伏見,1991,19580691.0,2
伏見,1992,18364622.0,2
伏見,1993,18085352.0,2
伏見,1994,17782850.0,2
伏見,1995,17720169.0,2
伏見,1996,17733541.0,2
伏見,1997,17157796.0,2
伏見,1998,17521819.0,2
伏見,1999,16879661.0,2
伏見,2000,16621926.0,2
伏見,2001,18114484.0,2
伏見,2002,18496144.0,2
伏見,2003,17349887.0,2
伏見,2004,15644281.0,2
伏見,2005,15400141.0,2
伏見,2006,15650417.0,2
伏見,2007,15492760.0,2
伏見,2008,15543477.0,2
伏見,2009,15287578.0,2
伏見,2010,14433557.0,2
伏見,2011,14716119.0,2
伏見,2012,14882691.0,2
伏見,2013,15400596.0,2
伏見,2014,15593628.0,2
伏見,2015,16307913.0,2
伝馬町,1991,2710955.0,1
伝馬町,1992,2500627.0,1
伝馬町,1993,2384176.0,1
伝馬町,1994,2286132.0,1
伝馬町,1995,2453055.0,1
伝馬町,1996,2269680.0,1
伝馬町,1997,2223770.0,1
伝馬町,1998,2150635.0,1
伝馬町,1999,2163519.0,1
伝馬町,2000,2098803.0,1
伝馬町,2001,2297186.0,1
伝馬町,2002,2175578.0,1
伝馬町,2003,2525294.0,1
伝馬町,2004,2293991.0,1
伝馬町,2005,2392475.0,1
伝馬町,2006,2424804.0,1
伝馬町,2007,2431493.0,1
伝馬町,2008,2408935.0,1
伝馬町,2009,2343451.0,1
伝馬町,2010,2419192.0,1
伝馬町,2011,2447062.0,1
伝馬町,2012,2513670.0,1
伝馬町,2013,2566001.0,1
伝馬町,2014,2592770.0,1
伝馬町,2015,2666475.0,1
八事,1991,3869963.0,1
八事,1992,3406084.0,1
八事,1993,3717854.0,1
八事,1994,3598441.0,1
八事,1995,4240513.0,1
八事,1996,3909293.0,1
八事,1997,4347350.0,1
八事,1998,4100077.0,1
八事,1999,4472549.0,1
八事,2000,4140021.0,1
八事,2001,4604774.0,1
八事,2002,4848927.0,1
八事,2003,5290862.0,1
八事,2004,4527960.0,2
八事,2005,5176881.0,2
八事,2006,5386807.0,2
八事,2007,5614842.0,2
八事,2008,5781705.0,2
八事,2009,5742916.0,2
八事,2010,6115422.0,2
八事,2011,5663018.0,2
八事,2012,5864964.0,2
八事,2013,6074457.0,2
八事,2014,6189348.0,2
八事,2015,6569729.0,2
八事日赤,1991,0.0,0
八事日赤,1992,0.0,0
八事日赤,1993,0.0,0
八事日赤,1994,0.0,0
八事日赤,1995,0.0,0
八事日赤,1996,0.0,0
八事日赤,1997,0.0,0
八事日赤,1998,0.0,0
八事日赤,1999,0.0,0
八事日赤,2000,0.0,0
八事日赤,2001,0.0,0
八事日赤,2002,0.0,0
八事日赤,2003,0.0,0
八事日赤,2004,643137.0,1
八事日赤,2005,1701779.0,1
八事日赤,2006,1939909.0,1
八事日赤,2007,2021183.0,1
八事日赤,2008,2017102.0,1
八事日赤,2009,2021260.0,1
八事日赤,2010,2094489.0,1
八事日赤,2011,2146537.0,1
八事日赤,2012,2232748.0,1
八事日赤,2013,2278721.0,1
八事日赤,2014,2308864.0,1
八事日赤,2015,2559831.0,1
八田,1991,2465327.0,3
八田,1992,2410022.0,3
八田,1993,2435886.0,3
八田,1994,2423245.0,3
八田,1995,2426835.0,3
八田,1996,2458733.0,3
八田,1997,2447373.0,3
八田,1998,2383595.0,3
八田,1999,2421800.0,3
八田,2000,2405879.0,3
八田,2001,2491439.0,3
八田,2002,2551636.0,3
八田,2003,2544167.0,3
八田,2004,2558041.0,3
八田,2005,2696775.0,3
八田,2006,2827636.0,3
八田,2007,2937799.0,3
八田,2008,3063587.0,3
八田,2009,3111337.0,3
八田,2010,3161958.0,3
八田,2011,3208330.0,3
八田,2012,3326709.0,3
八田,2013,3435949.0,3
八田,2014,3519910.0,3
